conv_id,n_turns,total_tokens
12BEB066-146F-4861-A186-DE013F5D9E96,1,121
12CE5894-EEA9-49FD-8705-72F51CFC11EC,3,602
12E52319-478F-4C50-8AF8-CE1D238ECB02,1,58
12F73FAE-C2B8-4401-AA6B-896F6BDC4A40,1,135
12F975A3-3962-41A9-91C3-86E42757EE52,6,864
12a012ed-5381-4109-b667-5be3975b0aa6,1,203
12a339ba-1aaa-4c0e-b374-bf1759a17032,1,130
12ad3bb8-2cb3-4cfb-859c-b4635c905cef,3,270
12e73385-f593-41f3-af6d-773efc61d38a,1,173
130A390E-80E2-46BB-BD73-70CC4DD4CCE4,1,208
1315c7bd-d653-4583-837f-634bdcc397d8,1,412
1337E1E1-9574-40CE-9042-5E6AA77C99A2,3,377
1351C096-920A-4590-9A28-DAC27ECD89C6,1,147
135B02F8-DC45-492E-826A-403D3740C602,3,377
137D3F24-9CEB-414B-9BC9-0E6FAD155B4D,1,89
138D1455-37B6-4F1B-9CC7-70714F9D7A2E,3,343
13f4eedd-302f-4a0a-af03-2d62883a13d0,3,391
1415ebbd-6f2a-486d-920d-333c55eb9b18,1,98
143d7dfb-4b33-491d-94af-5b11043a5760,7,1070
14976CD9-A708-47F1-8E2D-8A27C423B490,3,319
149FAC2B-364A-48ED-8881-C27AD26B3000,1,159
149fa0f3-3be2-4f3e-8990-0245763f15a2,1,69
14a2df79-20a5-4f4a-8161-2917473e4c2f,1,110
14cc74cc-2677-4baa-b37a-ad429a5160d6,3,290
14e6aef6-bc14-41a7-9ec9-ef303037a492,1,176
1552b317-8073-4c04-9681-65be009e6dbf,1,239
159be3da-9eb6-4c37-a580-f0488a3a85e4,1,108
15C65066-A06C-4D30-9248-DF8069375BEE,1,153
15CCEA2C-7717-441A-BE6E-14A09CED5147,3,223
15F5ACCC-9088-41D6-B5FF-18E507F678FD,4,299
15b4c2b3-258d-4331-a62c-5f46d5fec033,1,113
15da4437-4fca-48be-b973-a6245fe9c316,1,173
160dee7e-4065-4e94-804a-190fcb14cb53,1,182
16250c02-be71-4ca7-82b5-00d610b5d4d4,1,95
164c45ce-b436-4e24-b596-be4c83e53df2,1,126
168c13f4-992a-4237-94e0-9910150d5063,1,73
169D5640-E0AE-47F3-8F98-9187CFB6AF69,1,149
16c2105f-1a39-46fc-9820-79c49bb97192,4,392
16d95429-f4b7-4eb5-8e56-c1c0242d2dc3,1,164
16e8027e-a67f-402e-aa75-71e39a2539bc,1,134
1738187897,3,329
1738797488,3,576
1738798096,1,348
173fb58b-fb76-4974-a9a5-0b5e2545adec,6,595
17534DF6-6C5F-4D27-829A-A0D22FB73DF3,8,1314
175FE4C1-32ED-4401-8305-CAC0B64115D3,1,59
176cb71c-10e0-4d69-a993-9aa4f6458ac9,1,189
1773da85-ce0c-43a2-8268-7b796248d745,1,171
17A7CB75-289A-4BBE-A3DA-9BFBC11A081B,1,108
18104ecb-3386-4d07-9bba-45fd23c33030,1,130
182b9671-725c-47f0-9f1c-913db176a9b8,4,458
18467148-0321-425c-9475-72c89711cf39,3,460
18686ac6-6fe9-40ec-9ff7-ec6843b62aba,3,290
1876a58f-a9af-486c-ba5b-f44bdc8965e9,3,368
18E3889F-BB73-4E49-97A7-E074E72A5ED8,1,158
18EFA659-4356-4C2D-8B61-852DEE8CA5F8,1,108
18F2A478-E9B1-4E9D-947D-D0873A15D2C6,3,312
18deb002-5261-4743-b677-b5a557a86c90,3,115
18e06405-1391-4596-a8fa-3160e59e92e6,1,224
190263cc-c733-47c5-8523-db5adf88772c,4,942
1917a377-7fde-44e6-9cfd-bb9f2060663f,1,127
19257483-4706-442c-b5fc-c90b4a7fd045,3,132
19396c64-7c65-4ca1-8e14-a43f2a6d4b6b,3,376
1952A156-985A-4197-B43B-042EF6E2FE63,1,142
1999f101-5f07-4744-8edd-7a0007101df2,3,372
19FD9430-2D43-4CEE-B5D1-3DE49F36DDE7,4,601
19d406f6-f869-4be1-a324-056fa7a14d4b,1,92
19f4ac2f-7a02-42a7-8940-608aaccc3ca7,1,256
1A24DFEF-EC4C-4251-B66F-64B47DAE082E,3,475
1A2B3190-E7DF-4ACD-B111-884CE7785684,1,161
1A70AF43-CA16-48A8-B4F1-16A748FD8F7A,3,526
1A8FE682-F8A1-45D0-BE95-E258F2CB659E,1,83
1ABCD977-A9AD-4858-8892-F8EA6CD0E329,1,113
1ACA1C16-740D-4A1F-B933-E6CDB60FDB29,1,199
1ADC35E1-7B4C-446F-9FE7-8683B515F72A,1,180
1B0F0EE3-8FCB-4DC0-8334-08C1C5F552A6,3,503
1B13D667-AE84-446D-B964-F78038382C54,3,621
1BFF4CC7-7ABD-4361-B784-C8370BC38C2C,3,380
1C4DEAE0-D8E2-4E7A-8887-ABC58E7FD6C7,3,269
1CCF2A51-F290-4B72-9070-5A424DC86D34,1,99
1CE394C9-6614-4BDE-BEE1-AC5D6C602FBD,1,84
1CF7DAAB-FB6F-4889-AB1F-3461DC10CB03,4,492
1D08E589-859E-4FB5-98CF-B7C622675F0F,1,171
1D11264E-FAF7-4BF9-8FEF-90AA0F6C6D5E,4,504
1D5441ED-E883-47B4-A909-D8B807FD2B36,3,377
1D571EBD-2E3B-4F04-BACC-B183650B14B3,1,102
1D86D2F9-570D-4838-A239-2ACE39BAFE5A,1,108
1D8B519B-D695-4F4E-80EB-ACF9967A38D1,1,172
1D9880E5-EBEC-43C0-B747-057E1B187A55,1,90
1DA6EE78-3C3E-49E3-9DEA-4BA834900F58,3,375
1DAAC1BE-EF56-499F-A160-FF2B363A6D25,4,399
1DD34B02-326C-497A-BEAE-45422A9A8FCE,3,438
1E0E27D4-32A5-4B5E-982F-48947666425C,4,350
1E54AB60-CF0A-4792-AA54-24CC377876D7,1,111
1E70B2C3-32A2-45B2-B235-6751B5228834,1,102
1E7DB8C0-3461-495C-8362-824B2BF2B659,1,141
1ED279D3-641F-45C0-B822-2DAC2926FB75,1,270
1F024BD8-2D14-4D21-9736-72C12D71DF49,3,456
1F06092A-A5C7-4535-92AA-86E6EB992135,3,336
1F0EAADF-4882-40B0-9CB9-8D027879D4EE,4,511
1F2E641B-793D-43A5-9B9B-C3A68310F49D,1,176
1FC00391-4064-4976-81B7-0263FF63BD6F,1,191
1FFAFA28-9D16-460D-B457-4DC0955E4EE3,1,231
1a27068f-eefa-4f89-9578-ffdead0efc58,3,342
1a87f9e0-d542-4587-bc7f-f4004dcfd57c,1,80
1af2f9c1-d517-4bac-8da9-414b429a65d2,3,618
1b166c9a-505e-4aa9-911b-1c24c72fab70,1,76
1b316781-7dbe-4056-ba21-3bf6732f30bd,1,185
1b447e79-8b32-46bf-b8ef-d66eeb33e5ba,1,126
1b4b142d-5e37-4e75-9ba9-ccf99a91bb64,1,137
1b4ba1c5-9edb-467b-a60f-dd2c44664ca6,1,123
1b9c179c-e9e2-4143-8c7d-8a0e580c772a,1,111
1b9d9d36-9dcb-44af-b326-31a058c08d9b,3,299
1badd426-910b-448d-a21d-a596ad80b488,1,137
1bb5d8cf-7f44-4ba0-b94a-d7ea1fca603c,3,353
1c0e0638-64fc-43f4-85eb-4b854013f821,3,573
1c22acaa-d046-4dda-9f7e-296ca3e8c97c,3,538
1c40fd50-7ed3-4bac-99f1-f24ef40686aa,3,483
1c5f1628-892a-419d-8fad-7d9993e1a594,3,311
1c6d8f2b-199e-48da-a47a-33cc0bcacf08,1,167
1c9c6f11-410d-4d6e-91cb-395f161f477b,1,141
1cad6b60-aef9-4126-a808-b6867feaf535,1,171
1cc2aa41-f8b3-49ac-a765-8b38acd30fc7,3,404
1cf7919a-a5be-4085-9581-7e90406761f5,1,168
1da08e62-b57b-4f27-a68c-b9146dd44cb2,3,283
1da614d0-39a7-4333-a739-0f19b3a937c7,7,849
1dc99239-b131-4c80-83ef-20b0fef8f325,3,557
1e074f96-6d30-4502-b957-120eed4a3fcc,1,144
1e2dbaff-b0e3-449d-b720-1421833d033c,1,164
1e803efe-5bf3-4f26-875d-1e336090c449,3,358
1ef24255-470a-40d1-acc4-388e93ca1449,1,104
1ef2acf0-bb34-4e39-9f47-72f6d9d91053,8,1283
1f47e514-587b-4362-9ad1-95501f01cf1f,3,369
1f57d50c-32a4-474c-95b6-4c2628080e0e,4,679
1f70d796-8318-48f0-ac8e-0675ad118224,3,370
1f9914f8-52e0-43a2-bc35-ef88e90ac948,1,153
1fa293c8-8071-4d6d-a7b7-5280502e7ec4,5,958
1fad1fce-2c33-4173-9a52-1a71d48c5f25,3,177
1fb2b6aa-9887-481f-8020-3ffc31ea8443,1,101
20083e2f-bf2f-473b-af15-0d16591a7319,3,323
2031db0d-81f0-421a-8da8-4ce0d012f6eb,3,613
208d5909-266e-4607-bf1f-54a794271207,1,185
209e9fbb-9d35-4c3d-8f38-d62eb5f47e49,4,778
20C241A3-3C18-4813-BCCA-C7A9D0D2B879,1,123
20C43F97-CC03-48B1-B2BD-6262015DEDF9,1,125
20CAE48D-5CBA-49D8-88AC-1F221DCBA4D7,1,202
20EB76EB-BDC6-4A1D-B947-44EDD72E135F,3,232
20b20496-cd54-43a8-8d21-4a3c4612f27c,1,339
20b56742-74d3-4dce-bb96-fefa438ecca0,3,411
20da8ab8-f80e-47bb-a4b1-69c17a8e00d6,1,179
2116f003-42d9-4583-900b-9e8a8bb20d07,5,795
211A1041-874E-426B-AA8E-185178027E8B,3,499
2121078F-3275-46EA-8E6D-43590411D90C,1,130
2135bf4c-6d88-487c-98b6-14da34c0cc55,1,120
2137B2BD-2ED5-4F66-A0C1-CA4D58C53049,1,123
215b9bd1-1120-4054-b251-5f22db6c8051,3,292
216FB2D1-F1CF-4AFB-8A06-C1461DFD0D98,1,92
2174a5cc-5931-4bb2-ac9c-ab3a901296c2,1,168
21D9E4B0-3351-4F67-875B-CC2D2C1023E5,1,92
21ca636e-5591-4ce6-9213-660a39c51d58,4,547
21dc1519-f134-4171-a1c1-736d28f038eb,8,1353
21f4b087-4d75-4b83-862d-1f8696d95ade,4,568
22006AE3-3DBC-4B75-BAE9-7567500119BD,4,613
221B2A02-FA14-451B-916A-5DE70CCC3679,1,216
2243AC6B-7448-4DAD-8CAF-8AB8F0358D7F,1,188
2259fbce-5c2a-47c1-a433-c43e55fbbc72,4,435
22628BC2-FBC0-47E9-98A8-DF913523DFA0,3,260
229E5733-9885-4854-AF43-8EB1DA82AB4B,1,133
22B3F7D6-9205-4704-893D-07D469785B91,4,567
22b4a9bc-35e7-4fea-bfa6-573c3c4b1194,5,570
22b98c3e-d8ef-4bba-b1fd-52bf2d2c0dfd,1,142
22e25792-ea0b-4869-8377-45e725a212e0,1,144
2333F849-6120-4494-8C43-7B4F837CDDA7,1,194
237a21e8-6a97-46ac-9e18-007f88c1cd7a,6,1246
23BDF88F-DC14-42DF-A9D5-C295C68810D5,1,118
23CA48E2-2C5D-41E7-B2A8-2609C32621E5,1,95
23E45F24-F39B-4915-92B8-B4422CDE4EDB,4,474
23E800A9-2D31-43E1-A514-84FD3064E952,1,209
23F22F8B-7ED9-4B49-8075-500E1A4E9A58,3,388
23F606A5-8038-4F92-9F6D-068AA5781FFA,4,542
23e13d0e-23b4-47b7-a3f1-20b05b54fbce,3,333
241be26e-0e9f-466c-b5ce-3618c32b6f70,1,111
24424f6a-f420-46ee-be47-2de359bc341c,3,362
2472ba7d91ace40376c9265b34af73e1,8,1087
24A691F9-3D5C-4FAF-94FD-8ABB7D710682,1,163
24D10886-3E28-451D-BAA7-6B6159740072,1,222
24b4fc1d-8cd5-49fb-bbe3-430413730318,9,1030
251d4ae1-e6c3-4702-b95f-7a39a8804a20,4,472
254BC210-C8BC-4EDC-8B02-C9176A280263,1,156
25872d66-1faf-4e5e-87f8-fd6edd7a0802,1,107
25928DF8-62E2-4D1D-9F0C-B00D58262209,1,153
259372B5-80B2-4D37-A856-FCAD8E01AF50,1,78
26036d95f51b0b9303fd414ec8e03315,1,125
26130bea-1543-4de6-9c8f-4d8137555815,1,163
265857F0-389A-4533-B925-76A49ED44F8D,1,232
2659e2ec-1774-485d-95fe-a4caf05345f8,1,134
265e8826-2bc0-4d95-b0ce-9cb78616b7fb,1,181
26a3b783-ccf7-4eea-a723-68620c9c70f8,1,127
27036349-C1C1-4843-BFF2-AA8AAD24729A,3,452
27212ca7-0e1a-4a58-bfc0-75add0b27860,3,270
2724CF7B-5452-4B08-9439-C581264D6C34,1,97
276f79b4-ab17-445c-a631-1c6f100678cd,3,289
279FF6C7-635C-46A1-820C-07EF995E06EF,1,176
27E836FF-F731-43E1-8810-1FFCCC617225,1,112
27a5d673-e0a3-4b1c-a69d-76db1570d539,3,469
27df8038-7de3-4788-8c28-679ab76d737b,1,131
2830DB6D-48EB-490A-9A63-9256F81865FA,1,70
2847793F-35AB-4972-ACBF-FAD3EA4C5ABB,1,94
285cfc88-29f6-4426-b107-93e6cf8bb0bf,1,134
286bdef3-fd4c-45d3-aec7-2cea7a088371,1,95
287F2E09-F34C-4881-AAFF-C670EB74CA88,1,161
28861D33-ED2D-46CB-9565-8FA79EE3CE77,1,141
289CB102-DB1E-44F9-8421-9BBD5EEB92C5,1,71
28F503D7-D9F7-4ECB-BF9A-4472BCEFA842,1,122
29025545-4644-496D-8E42-2FF2DD4FFE51,1,175
29853F83-60AC-4B4D-AD82-217382C96531,1,181
29936FE5-4160-4F91-89F2-D6FD38346407,3,308
29967DA8-F2F2-4B0C-BA8C-3488E472FD59,1,193
29988c91-4fb4-4125-bf39-47130a7c2ecc,1,104
29ABE573-9493-4AF6-9EE5-E77B2672AB70,1,142
29BE8145-8D16-467F-98FC-0868EC5D78AD,3,472
29C42F86-F11E-4108-93CB-AB3AEE68DFD5,1,177
29b7c8ea-3e71-4d8d-8742-c069f7ba5073,3,547
29c0a20a-166c-4fea-ab9c-52c220ef45ba,1,89
2A00038D-CC50-4F15-A4D7-2559D01C904A,1,188
2B34F8D3-E04E-4B10-85DE-14A8CFA42176,5,545
2B4733C3-FA0E-417B-A2F5-34D22C100719,3,226
2B7B5134-6572-4424-A157-9B3C39CF99B4,3,557
2C287621-8D0F-4117-B589-FF582A4F336F,1,109
2C90ED1E-6272-4414-89E3-091806B1EAA2,1,107
2C9CBAFE-0F09-4623-981A-97CCCACDF7E6,1,196
2CC3C501-A489-49BE-90AD-3EBADD7710F3,6,839
2CD0C044-E6DD-41CA-9F0F-B9679DA1D69B,1,184
2D85DAED-94DC-4EB3-B333-C84007C33B40,1,130
2DA48B61-2B7D-446E-94A0-4B9A332CD83A,1,106
2DAD327C-BEBB-4AD0-8BA0-B830DE222EB6,1,100
2DE5867A-E756-454B-AB1B-848C9EDCCDF7,1,170
2E071DC5-C49A-4567-96BC-262B50B75651,9,1607
2E5AE5F2-446E-4F3D-9E2B-140500C50C72,3,266
2EC136E1-7769-4040-9ADB-BD22FA89F296,1,154
2EE6EDC9-0C92-4227-8422-D32FF3BBE671,3,270
2F4441E0-67CB-4907-B7E4-ECA206BBDA4E,1,134
2F79B254-6BC8-41BD-AA19-E3EFFB5E9477,1,144
2F8B8CBE-7B8D-4240-B14D-457B9DA25B19,1,244
2FE759F9-A663-418B-9C49-6E701A021CFA,1,166
2a3039cf-7b5b-4cd3-908c-223c0c4d4e05,3,261
2a5f2f5a-0d3b-4971-b461-ea37ce93cd3c,1,159
2a62c5fca0d22f4573a2d39f8405bc7d,4,587
2a82e2b05c94703aaf6ea1d5a54763de,1,155
2a8c80e5-8cce-49b9-a37a-495fd1418491,5,799
2ac60587-2522-4c49-b034-3e95bf465705,1,79
2ad70d24-e74c-4a71-80e3-6d782ed430aa,1,137
2af4ec5c-e904-4633-a024-91e6f5347c33,1,105
2b0eb005-6bcc-4ef7-8695-14b8df870d97,1,161
2b273dac-fa71-45e3-899b-64de7101c13d,1,148
2b4431b6-4e8b-4941-a08e-2500eea3ca51,4,543
2b7d40cd-74d8-4d4c-8ddc-6e16611c0b8e,1,127
2bcbf182-d1a1-47ba-b5ae-7cab2b304cd1,6,729
2c070228-21b7-4ba8-abfb-7f30d55a5d65,1,135
2c25dd45-cc4e-4154-8e85-364f6c40dba4,3,257
2c7c4ede-8e46-489c-a4cd-38ae0b7dd2b1,1,220
2cc40a82-0720-4d33-ac8f-f9fa7ef47c4c,1,187
2ce84cc9-f84b-4074-bbf0-052dcf189806,1,106
2ceda6ea-ddca-4f6b-a3bd-0619f185b454,4,738
2deb6ea7-c6b2-4ba9-9319-7dee705e5ddf,1,144
2e19ceee-b95e-4276-8998-aefe36a13417,3,289
2e31d132-cf72-490f-984b-0f1e2a120ca1,1,129
